id,lat,lon,bank
ATM_0,27.031337,74.192225,STATE BANK OF INDIA
ATM_1,27.011639,74.202938,STATE BANK OF INDIA
ATM_2,27.036582,74.227451,STATE BANK OF INDIA
ATM_3,26.752699,76.186672,STATE BANK OF INDIA
ATM_4,26.72728,76.183584,STATE BANK OF INDIA
ATM_5,26.716291,76.209289,STATE BANK OF INDIA
ATM_6,26.705907,76.192721,STATE BANK OF INDIA
ATM_7,26.739602,76.211429,STATE BANK OF INDIA
ATM_8,26.716389,76.213825,STATE BANK OF INDIA
ATM_9,26.748226,76.182324,STATE BANK OF INDIA
ATM_10,26.508431,71.47861,STATE BANK OF INDIA
ATM_11,27.015165,74.199277,STATE BANK OF INDIA
ATM_12,27.048514,74.209067,STATE BANK OF INDIA
ATM_13,26.469886,71.446101,STATE BANK OF INDIA
ATM_14,26.510683,71.473507,STATE BANK OF INDIA
ATM_15,27.040402,74.230318,STATE BANK OF INDIA
ATM_16,27.025758,74.243474,STATE BANK OF INDIA
ATM_17,27.017234,74.220713,STATE BANK OF INDIA
ATM_18,27.041606,74.224306,STATE BANK OF INDIA
ATM_19,26.511452,71.472081,STATE BANK OF INDIA
ATM_20,27.034858,74.19335,STATE BANK OF INDIA
ATM_21,27.009092,74.206516,STATE BANK OF INDIA
ATM_22,27.001086,74.203456,STATE BANK OF INDIA
ATM_23,27.002233,74.205899,STATE BANK OF INDIA
ATM_24,26.499234,71.460594,STATE BANK OF INDIA
ATM_25,27.016783,74.202198,STATE BANK OF INDIA
ATM_26,27.011204,74.241503,STATE BANK OF INDIA
ATM_27,27.031802,74.223799,STATE BANK OF INDIA
ATM_28,26.474124,71.480285,STATE BANK OF INDIA
ATM_29,26.473706,71.461384,STATE BANK OF INDIA
ATM_30,27.050261,74.225468,STATE BANK OF INDIA
ATM_31,27.026878,74.227879,STATE BANK OF INDIA
ATM_32,27.042333,74.232819,STATE BANK OF INDIA
ATM_33,27.009154,74.192608,STATE BANK OF INDIA
ATM_34,27.013824,74.205345,STATE BANK OF INDIA
ATM_35,26.476277,71.491841,STATE BANK OF INDIA
ATM_36,26.512244,71.457883,STATE BANK OF INDIA
ATM_37,26.500302,71.462258,STATE BANK OF INDIA
ATM_38,26.514308,71.465676,STATE BANK OF INDIA
ATM_39,26.479191,71.454204,STATE BANK OF INDIA
ATM_40,26.495217,71.455075,STATE BANK OF INDIA
ATM_41,26.496472,71.489404,STATE BANK OF INDIA
ATM_42,26.486462,71.452728,STATE BANK OF INDIA
ATM_43,26.518794,71.468415,STATE BANK OF INDIA
ATM_44,26.469787,71.44342,STATE BANK OF INDIA
ATM_45,26.4708,71.474789,STATE BANK OF INDIA
ATM_46,26.507688,71.463692,STATE BANK OF INDIA
ATM_47,26.468307,71.461501,STATE BANK OF INDIA
ATM_48,26.518717,71.469474,STATE BANK OF INDIA
ATM_49,26.517364,71.487402,STATE BANK OF INDIA
ATM_50,26.465494,71.479831,STATE BANK OF INDIA
ATM_51,26.501722,71.469898,STATE BANK OF INDIA
ATM_52,26.479296,71.47552,STATE BANK OF INDIA
ATM_53,26.470903,71.464374,STATE BANK OF INDIA
ATM_54,26.489399,71.492431,STATE BANK OF INDIA
ATM_55,26.512216,71.45511,STATE BANK OF INDIA
ATM_56,26.491932,71.45053,STATE BANK OF INDIA
ATM_57,26.514204,71.487928,STATE BANK OF INDIA
ATM_58,26.481005,71.475411,STATE BANK OF INDIA
ATM_59,27.02969,74.199135,STATE BANK OF INDIA
ATM_60,27.03799,74.220029,STATE BANK OF INDIA
ATM_61,27.038861,74.219541,STATE BANK OF INDIA
ATM_62,26.996804,74.208395,STATE BANK OF INDIA
ATM_63,26.997826,74.241095,STATE BANK OF INDIA
ATM_64,27.044271,74.235828,STATE BANK OF INDIA
ATM_65,27.013395,74.194004,STATE BANK OF INDIA
ATM_66,27.000533,74.912059,STATE BANK OF INDIA
ATM_67,26.957703,74.887143,STATE BANK OF INDIA
ATM_68,26.956814,74.901987,STATE BANK OF INDIA
ATM_69,26.994469,74.867813,STATE BANK OF INDIA
ATM_70,26.978764,74.890592,STATE BANK OF INDIA
ATM_71,26.9674,74.908032,STATE BANK OF INDIA
ATM_72,26.975945,74.872322,STATE BANK OF INDIA
ATM_73,26.982224,74.900329,STATE BANK OF INDIA
SBIN0040764,15.301146,75.703723,STATE BANK OF INDIA
ATM_75,27.725265,70.891602,STATE BANK OF INDIA
ATM_76,26.976754,74.88885,STATE BANK OF INDIA
ATM_77,26.959614,74.873019,STATE BANK OF INDIA
