case_id,snapshot_index,as_of_time,as_of_hour,as_of_day_of_week,n_hops_observed,time_since_last_hop_hours,elapsed_hours_since_first_tx,hop_velocity,terminal_readiness,n_split_events,n_unique_banks_seen,dormant_account_ratio,avg_account_age_days,min_account_age_days,last_hop_amount,amount_trend,stolen_amount,urban,victim_lat,victim_lon,is_final_snapshot,label_true_channel,label_true_location_id,label_true_lat,label_true_lon,label_is_noisy_case,label_time_to_cashout_hours
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,2026-04-25T04:00:00,4,5,1,0.0,0.05,20.0,0.45967035857392463,0,1,1.0,477.0,477,56785.87,0.0,56785.87,1,8.50021510445334,76.40046909390591,0,Agent,ATM_5697,26.56828,75.289379,0,2.102
b59cf7be-ba3a-42df-9a03-0d448d4be42e,1,2026-04-25T04:12:09.874083,4,5,2,0.203,0.203,9.8647,0.7280614449988994,0,2,0.5,442.5,408,56785.87,0.0,56785.87,1,8.50021510445334,76.40046909390591,0,Agent,ATM_5697,26.56828,75.289379,0,1.899
b59cf7be-ba3a-42df-9a03-0d448d4be42e,2,2026-04-25T05:33:41.134068,5,5,3,1.359,1.561,1.9213,0.9624420491252038,0,3,0.667,299.67,14,53287.28,-3498.59,56785.87,1,8.50021510445334,76.40046909390591,1,Agent,ATM_5697,26.56828,75.289379,0,0.54
3d65a068-3f91-4145-9cba-723c37eaddfa,0,2026-02-17T12:00:00,12,1,1,0.0,0.05,20.0,0.415708122299118,0,1,1.0,2.0,2,59177.94,0.0,59177.94,1,27.144261444135623,77.38551272180203,1,UPI,ATM_52895,11.121098,78.648509,1,0.4
66841cc8-ff8b-4461-b6b8-7488400a91ae,0,2026-04-27T09:00:00,9,0,1,0.0,0.05,20.0,0.32883034751390083,0,1,1.0,759.0,759,21893.42,0.0,21893.42,1,22.091436724298468,72.7331901384906,0,UPI,ATM_29714,23.06882,82.139799,0,0.782
66841cc8-ff8b-4461-b6b8-7488400a91ae,1,2026-04-27T09:31:48.158565,9,0,2,0.53,0.53,3.7733,1.0,0,2,0.5,387.0,15,21893.42,0.0,21893.42,1,22.091436724298468,72.7331901384906,1,UPI,ATM_29714,23.06882,82.139799,0,0.252
57785198-9c48-418c-b59d-a82b0b2dfd6c,0,2026-10-13T07:00:00,7,1,1,0.0,0.05,20.0,1.0,0,1,1.0,2.0,2,10074.14,0.0,10074.14,0,11.268049875238567,78.07128706812236,1,UPI,ATM_52759,11.938412,78.241353,0,0.25
2133abc9-aac7-42c6-8add-b0886cc6df13,0,2026-08-23T04:00:00,4,6,1,0.0,0.05,20.0,0.5658035929682551,0,1,1.0,1198.0,1198,21150.63,0.0,21150.63,1,17.984625189845545,86.15493046218724,0,ATM,ATM_38554,18.194281,83.981458,0,1.659
2133abc9-aac7-42c6-8add-b0886cc6df13,1,2026-08-23T04:44:24.246076,4,6,2,0.74,0.74,2.7025,0.9023325080023182,0,2,0.5,601.0,4,21150.63,0.0,21150.63,1,17.984625189845545,86.15493046218724,1,ATM,ATM_38554,18.194281,83.981458,0,0.919
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,0,2026-08-05T19:00:00,19,2,1,0.0,0.05,20.0,0.0,0,1,0.0,547.0,547,43825.77,0.0,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.25
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,1,2026-08-05T19:01:17.563648,19,2,2,0.022,0.05,40.0,0.5607627882112792,1,2,0.5,574.5,547,11434.04,-32391.73,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.228
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,2,2026-08-05T19:01:17.563648,19,2,2,0.0,0.05,40.0,0.5607627882112792,2,2,0.5,574.5,547,27125.52,-16700.25,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.228
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,3,2026-08-05T19:01:17.563648,19,2,2,0.0,0.05,40.0,0.5607627882112792,3,2,0.5,574.5,547,5266.21,-38559.56,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.228
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,4,2026-08-05T19:01:48.714601,19,2,3,0.009,0.05,60.0,0.7685069384753824,3,3,0.667,505.0,366,43640.96,-184.81,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.22
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,5,2026-08-05T19:03:06.107661,19,2,4,0.021,0.052,77.3746,0.9269627023865515,3,4,0.5,638.75,366,39048.48,-4777.29,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.198
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,6,2026-08-05T19:04:39.237838,19,2,5,0.026,0.078,64.4612,0.6608907133787274,3,4,0.4,728.4,366,34137.45,-9688.32,43825.77,1,10.192982607013183,82.03913666724944,0,ATM,ATM_34676,15.917123,79.748546,1,0.172
bb5c3683-0efe-454c-bdb2-30a7bc65c79d,7,2026-08-05T19:11:48.749449,19,2,6,0.119,0.197,30.4762,1.0,3,5,0.333,609.5,15,29589.66,-14236.11,43825.77,1,10.192982607013183,82.03913666724944,1,ATM,ATM_34676,15.917123,79.748546,1,0.053
3d95b356-9846-4651-b58f-f8dcdc3e4f79,0,2026-02-05T17:00:00,17,3,1,0.0,0.05,20.0,0.46978370029013383,0,1,0.0,1081.0,1081,30947.3,0.0,30947.3,1,9.575140965827321,83.71052151751404,0,ATM,ATM_25376,10.265823,79.732433,0,1.364
3d95b356-9846-4651-b58f-f8dcdc3e4f79,1,2026-02-05T17:40:50.383046,17,3,2,0.681,0.681,2.9383,0.32636873559460994,0,2,0.0,1093.0,1081,30947.3,0.0,30947.3,1,9.575140965827321,83.71052151751404,0,ATM,ATM_25376,10.265823,79.732433,0,0.683
3d95b356-9846-4651-b58f-f8dcdc3e4f79,2,2026-02-05T17:50:47.357105,17,3,3,0.166,0.846,3.5441,0.5681089287987838,1,3,0.333,1172.33,1081,22002.94,-8944.36,30947.3,1,9.575140965827321,83.71052151751404,0,ATM,ATM_25376,10.265823,79.732433,0,0.518
3d95b356-9846-4651-b58f-f8dcdc3e4f79,3,2026-02-05T17:50:47.357105,17,3,3,0.0,0.846,3.5441,0.5681089287987838,2,3,0.333,1172.33,1081,6154.43,-24792.87,30947.3,1,9.575140965827321,83.71052151751404,0,ATM,ATM_25376,10.265823,79.732433,0,0.518
