feature,gain
stolen_amount,6386.2987496852875
victim_lat,5036.426551938057
victim_lon,4309.711986064911
urban,3661.6342549324036
as_of_day_of_week,2075.1392431259155
as_of_hour,1421.2232525348663
avg_account_age_days,1326.3234498500824
hop_velocity,969.8795294761658
min_account_age_days,685.8519601821899
last_hop_amount,605.5629472732544
elapsed_hours_since_first_tx,358.6024913787842
dormant_account_ratio,352.2248592376709
amount_trend,317.8969202041626
terminal_readiness,206.4602403640747
n_split_events,139.07500839233398
time_since_last_hop_hours,57.02683162689209
n_unique_banks_seen,45.865149974823
n_hops_observed,31.41839027404785
is_final_snapshot,6.845339775085449
