feature,gain
hop_velocity,9978.346408963203
elapsed_hours_since_first_tx,1781.3774074316025
n_hops_observed,1164.4700456857681
min_account_age_days,940.0723237991333
terminal_readiness,930.1915603876114
stolen_amount,672.7522212266922
avg_account_age_days,672.1298288106918
victim_lat,602.6649812459946
victim_lon,570.7152591943741
time_since_last_hop_hours,541.2907973527908
as_of_hour,470.25255930423737
amount_trend,443.52919709682465
last_hop_amount,209.5875997543335
n_unique_banks_seen,202.54426181316376
as_of_day_of_week,190.7900905609131
dormant_account_ratio,135.32523024082184
n_split_events,113.87308096885681
urban,55.46356987953186
is_final_snapshot,42.08788001537323
